horizon,quantile,n_oos,eval_start,pb_base,pb_enh,oos_impr%,dm_stat,dm_pval
3,0.05,189,2010-01-01,0.3642,0.4155,-14.08,-1.589,0.944
3,0.1,189,2010-01-01,0.4556,0.51,-11.93,-1.511,0.935
3,0.25,189,2010-01-01,0.7077,0.7875,-11.27,-1.898,0.971
3,0.5,189,2010-01-01,0.8196,0.8549,-4.3,-0.748,0.773
3,0.75,189,2010-01-01,0.738,0.726,1.63,0.251,0.401
3,0.9,189,2010-01-01,0.526,0.5204,1.08,0.103,0.459
3,0.95,189,2010-01-01,0.4726,0.4429,6.28,0.586,0.279
6,0.05,186,2010-01-01,0.5667,0.6384,-12.66,-0.831,0.797
6,0.1,186,2010-01-01,0.6302,0.8247,-30.86,-2.125,0.983
6,0.25,186,2010-01-01,0.9112,1.0981,-20.52,-1.848,0.968
6,0.5,186,2010-01-01,1.0552,1.1838,-12.18,-1.777,0.962
6,0.75,186,2010-01-01,0.8878,0.9462,-6.57,-0.951,0.829
6,0.9,186,2010-01-01,0.6565,0.6866,-4.59,-0.543,0.707
6,0.95,186,2010-01-01,0.4855,0.5476,-12.78,-1.166,0.878
12,0.05,180,2010-01-01,0.6706,0.7193,-7.25,-0.446,0.672
12,0.1,180,2010-01-01,1.0369,1.0475,-1.02,-0.055,0.522
12,0.25,180,2010-01-01,1.2964,1.5895,-22.61,-1.533,0.937
12,0.5,180,2010-01-01,1.3043,1.5097,-15.75,-1.631,0.949
12,0.75,180,2010-01-01,1.0047,0.911,9.33,1.288,0.099
12,0.9,180,2010-01-01,0.6404,0.4796,25.12,1.737,0.041
12,0.95,180,2010-01-01,0.4064,0.3387,16.67,1.09,0.138
