horizon,quantile,orth_gipi_coef,orth_significant,lasso_selected,pinball_base,pinball_enh,pinball_impr%,pseudo_r2_base,pseudo_r2_enh
3,0.05,-0.6184,True,"fci, ip_yoy",0.2788,0.2711,2.75,0.5728,0.5846
3,0.1,-0.1069,True,"fci, ip_yoy",0.3983,0.3969,0.34,0.5792,0.5807
3,0.25,-0.1181,True,"fci, ip_yoy, d_breakeven_5y",0.6225,0.6207,0.28,0.545,0.5463
3,0.5,0.2093,True,"gpr_z, ip_yoy, import_price_yoy",0.7656,0.7604,0.68,0.4538,0.4575
3,0.75,0.3767,True,"gpr_z, ip_yoy, import_price_yoy",0.6222,0.6126,1.55,0.3695,0.3793
3,0.9,0.6135,True,"ip_yoy, import_price_yoy",0.3998,0.3886,2.8,0.2723,0.2926
3,0.95,1.7218,True,global_energy_yoy,0.2883,0.2648,8.14,0.1816,0.2482
6,0.05,-1.1059,True,"fci, ip_yoy",0.402,0.3728,7.26,0.3838,0.4286
6,0.1,-0.8844,True,"fci, ip_yoy",0.5934,0.5817,1.98,0.3724,0.3849
6,0.25,-0.0709,True,"fci, ip_yoy",0.9541,0.9521,0.21,0.3002,0.3017
6,0.5,0.1201,True,"gpr_z, ip_yoy, import_price_yoy, global_food_yoy",1.0901,1.0882,0.17,0.217,0.2183
6,0.75,0.0304,True,"gpr_z, ip_yoy, import_price_yoy",0.8225,0.8221,0.05,0.1532,0.1536
6,0.9,0.3336,True,,0.5028,0.5015,0.26,0.0594,0.0618
6,0.95,0.7827,True,,0.3338,0.3264,2.21,0.0285,0.05
12,0.05,-2.1037,True,"fci, import_price_yoy",0.5586,0.4766,14.67,0.1458,0.2711
12,0.1,-2.1704,True,"fci, import_price_yoy",0.8858,0.7845,11.44,0.0654,0.1723
12,0.25,0.4418,True,"fci, global_energy_yoy, d_breakeven_5y",1.3454,1.333,0.92,0.0135,0.0225
12,0.5,-0.0537,True,gpr_z,1.356,1.3546,0.1,0.0258,0.0268
12,0.75,0.1877,True,"fci, ip_yoy, global_food_yoy, d_breakeven_5y",0.9416,0.9397,0.2,0.027,0.029
12,0.9,-0.4029,True,ip_yoy,0.4907,0.4825,1.68,0.0846,0.1
12,0.95,-0.5216,True,ip_yoy,0.2911,0.274,5.9,0.1608,0.2103
